SMILES;Molecular_weight;LogP;Number_of_HBA_1;Number_of_HBA_2;Number_of_HBD_1;Number_of_HBD_2;Number_of_acidic_groups;Number_of_aliphatic_OH_groups;Number_of_basic_groups;Fraction_of_rotatable_bonds;Number_of_heavy_bonds;Number_of_heterocycles;Number_of_hydrophobic_groups;MolarRefractivity;Number_of_atoms;Number_of_halogen_atoms;Number_of_B_atoms;Number_of_Br_atoms;Number_of_Cl_atoms;Number_of_I_atoms;Number_of_F_atoms;Number_of_N_atoms;Number_of_O_atoms;Number_of_P_atoms;Number_of_S_atoms;Number_of_bonds;Number_of_NO2_groups;Number_of_SO_groups;Number_of_OSO_groups;Number_of_SO2_groups;PolarSurfaceArea;Geometrical_diameter;Geometrical_radius;Geometrical_shape_coefficient;Kier_shape_1;Kier_shape_2;Zagreb_group_index_1;Zagreb_group_index_2;abonds;atoms;bonds;dbonds;HBA1;HBA2;HBD;logP;MR;MW;nF;sbonds;tbonds;TPSA;MF;MW;Ncharges;C;Cl;F;N;O;S;P;H;Si;Al;RNH2;R2NH;R3N;ROPO3;ROH;RCHO;RCOR;RCOOH;RCOOR;ROR;RCCH;RCN;RINGS;AROMATIC;freq6
O=S(Cl)Cl;118.9719992;1.9084;1;1;0;0;0;0;0;0;3;0;0;19.9835;4;2;0;0;2;0;0;0;1;0;1;3;0;0;0;0;36.28;3.019151381;1.499929941;1.012861601;4;1.333333333;12;9;0;4;3;1;1;1;0;1.9084;19.9835;118.9704;0;2;0;36.28;Cl2OS;118.9704;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1251
O=S(F)F;86.06199932;1.3698;1;1;0;0;0;0;0;0;3;0;0;10.4935;4;2;0;0;0;0;2;0;1;0;1;3;0;0;0;0;36.28;2.378314845;1.49999922;0.585544054;4;1.333333333;12;9;0;4;3;1;1;1;0;1.3698;10.4935;86.0612064;2;2;0;36.28;F2OS;86.0612064;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O=S=O;64.06500053;0.4106;2;3;0;0;0;0;0;0;2;0;0;8.964;3;0;0;0;0;0;0;0;2;0;1;2;0;0;0;0;66.23;2.61802443;1.569786886;0.667757868;3;2;6;4;0;3;2;2;2;3;0;0.4106;8.964;64.0638;0;0;0;66.23;O2S;64.0638;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O=S=S;80.13300228;1.1776;2;3;0;0;0;0;0;0;2;0;0;15.8685;3;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;81.25;2.89907278;1.490059409;0.945608855;3;2;6;4;0;3;2;2;2;3;0;1.1776;15.8685;80.1294;0;0;0;81.25;OS2;80.1294;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OCl;52.45999873;0.6252;2;1;1;1;0;0;0;0;1;0;0;8.9008;3;1;0;0;1;0;0;0;1;0;0;2;0;0;0;0;20.23;2.208817185;0.972024714;1.272387885;2;0;5;2;0;3;2;0;2;1;1;0.5127;7.7888;52.46034;0;2;0;20.23;ClO;51.4524;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OF;36.0049988;0.3559;2;1;1;1;0;0;0;0;1;0;0;4.1558;3;1;0;0;0;0;1;0;1;0;0;2;0;0;0;0;20.23;1.972218901;0.972005089;1.029021169;2;0;5;2;0;3;2;0;2;1;1;0.2434;3.0438;36.0057432;1;2;0;20.23;FO;34.9978032;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O[O];33.00599921;0.3154;3;2;2;2;0;0;0;0;1;0;0;7.0626;3;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;40.46;1.964710128;0.972020579;1.021263922;2;0;5;2;0;3;2;0;3;2;1;-0.1101;3.3153;33.00674;0;2;0;20.23;O2;31.9988;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P12P3P1P23;123.8960037;3.4448;4;0;0;0;0;0;0;0;6;3;0;27.68;4;0;0;0;0;0;0;0;0;4;0;6;0;0;0;0;54.36;2.279056757;2.278958385;4.31654E-05;1;0.083333333;36;54;0;4;6;0;4;0;0;3.4448;27.68;123.895044;0;6;0;54.36;Cl3P;137.332762;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S(Cl)Cl;102.9729996;2.0272;1;1;0;0;0;0;0;0;2;0;0;19.297;3;2;0;0;2;0;0;0;0;0;1;2;0;0;0;0;25.3;3.063353629;2.030994721;0.508302113;3;2;6;4;0;3;2;0;1;1;0;2.0272;19.297;102.971;0;2;0;25.3;Cl2S;102.971;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[Al](Cl)(Cl)Cl;133.3409977;2.0685;1;0;0;0;0;0;0;0;3;0;0;17.559;4;3;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;3.757748195;2.169500113;0.732080203;4;1.333333333;12;9;0;4;3;0;1;0;0;2.0685;17.559;133.340538;0;3;0;0;AlCl3;133.3405386;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
